created_at,entry_id,field1,field2,field3,field4,field5,field6,latitude,longitude,elevation,status
2026-05-15T23:48:11+02:00,1,439,0.99933,21.4,76.3,2,,,,,
2026-05-15T23:54:21+02:00,2,539,1.00529,21.9,77.1,2,,,,,
2026-05-16T00:15:54+02:00,3,559,0.96176,22,75,2,,,,,
2026-05-16T00:37:29+02:00,4,565,0.94931,22.2,87.5,2,,,,,
2026-05-16T00:59:06+02:00,5,563,0.95343,22.3,89.9,2,,,,,
2026-05-16T01:20:42+02:00,6,559,0.96176,22.2,91,2,,,,,
2026-05-16T01:42:18+02:00,7,557,0.96598,22.2,91.6,2,,,,,
2026-05-16T02:03:54+02:00,8,557,0.96598,22.1,92.1,2,,,,,
2026-05-16T02:25:30+02:00,9,557,0.96598,22.1,92.4,2,,,,,
2026-05-16T02:47:05+02:00,10,565,0.94931,22.1,92.5,2,,,,,
2026-05-16T03:08:42+02:00,11,563,0.95343,22,92.7,2,,,,,
2026-05-16T03:30:18+02:00,12,563,0.95343,22,92.7,2,,,,,
2026-05-16T03:51:54+02:00,13,559,0.96176,22,92.8,2,,,,,
2026-05-16T04:13:31+02:00,14,562,0.9555,21.9,93,2,,,,,
2026-05-16T04:35:07+02:00,15,562,0.9555,21.9,93,2,,,,,
2026-05-16T04:56:42+02:00,16,563,0.95343,21.9,93.1,2,,,,,
2026-05-16T05:18:19+02:00,17,559,0.96176,21.9,93.2,2,,,,,
2026-05-16T05:39:55+02:00,18,563,0.95343,21.8,93.2,2,,,,,
2026-05-16T06:01:31+02:00,19,563,0.95343,21.8,93.3,2,,,,,
2026-05-16T06:23:07+02:00,20,564,0.95136,21.8,93.3,2,,,,,
2026-05-16T06:44:43+02:00,21,565,0.94931,21.8,93.5,2,,,,,
2026-05-16T07:06:19+02:00,22,565,0.94931,21.8,93.4,2,,,,,
2026-05-16T07:27:56+02:00,23,565,0.94931,21.8,93.5,2,,,,,
2026-05-16T07:49:32+02:00,24,567,0.94521,21.7,93.6,2,,,,,
2026-05-16T08:11:08+02:00,25,567,0.94521,21.7,93.6,2,,,,,
2026-05-16T08:32:45+02:00,26,566,0.94725,21.7,93.6,2,,,,,
2026-05-16T08:54:21+02:00,27,567,0.94521,21.7,93.7,2,,,,,
2026-05-16T09:15:57+02:00,28,569,0.94115,21.6,93.8,2,,,,,
2026-05-16T09:37:33+02:00,29,568,0.94317,21.6,93.7,2,,,,,
2026-05-16T09:59:09+02:00,30,568,0.94317,21.6,93.8,2,,,,,
2026-05-16T10:20:46+02:00,31,567,0.94521,21.6,93.8,2,,,,,
2026-05-16T10:42:22+02:00,32,563,0.95343,21.6,93.7,2,,,,,
2026-05-16T11:03:58+02:00,33,559,0.96176,21.6,93.7,2,,,,,
2026-05-16T11:25:34+02:00,34,557,0.96598,21.4,94.2,2,,,,,
2026-05-16T11:47:10+02:00,35,557,0.96598,21.1,94.6,2,,,,,
2026-05-16T12:08:46+02:00,36,555,0.97022,21,94.6,2,,,,,
2026-05-16T12:30:21+02:00,37,557,0.96598,20.9,94.6,2,,,,,
2026-05-16T12:51:57+02:00,38,559,0.96176,20.9,94.4,2,,,,,
2026-05-16T13:13:34+02:00,39,558,0.96387,21,93.9,2,,,,,
